tcdb_id,player_fbref,url_tm,MV,update
378186,Matthis Abline,https://www.transfermarkt.com/matthis-abline/profil/spieler/659543,12.0,2025-03-24
334285,Mohamed Ali Cho,https://www.transfermarkt.com/mohamed-ali-cho/profil/spieler/670847,15.0,2025-03-24
298513,Hugo Álvarez,https://www.transfermarkt.com/hugo-alvarez/profil/spieler/892929,7.5,2024-12-27
379519,Elliot Anderson,https://www.transfermarkt.com/elliot-anderson/profil/spieler/567576,30.0,2025-03-18
460814,Jon Aramburu,https://www.transfermarkt.com/jon-aramburu/profil/spieler/661145,12.0,2024-12-27
372883,Hákon Arnar Haraldsson,https://www.transfermarkt.com/hakon-arnar-haraldsson/profil/spieler/652275,15.0,2025-03-24
465978,Raúl Asencio,https://www.transfermarkt.com/raul-asencio/profil/spieler/935245,30.0,2025-03-21
413770,Yaser Asprilla,https://www.transfermarkt.com/yaser-asprilla/profil/spieler/857818,18.0,2024-12-27
435303,Valentin Atangana Edoa,https://www.transfermarkt.com/valentin-atangana/profil/spieler/923759,9.0,2024-12-10
398693,Arthur Atta,https://www.transfermarkt.com/arthur-atta/profil/spieler/855308,2.5,2025-03-25
398820,Noah Atubolu,https://www.transfermarkt.com/noah-atubolu/profil/spieler/526845,15.0,2025-03-27
421504,Yasin Ayari,https://www.transfermarkt.com/yasin-ayari/profil/spieler/667287,17.0,2025-03-18
390871,Dilane Bakwa,https://www.transfermarkt.com/dilane-bakwa/profil/spieler/540664,18.0,2025-03-24
327148,Alejandro Balde,https://www.transfermarkt.com/alejandro-balde/profil/spieler/636688,60.0,2025-03-21
396059,Carlos Baleba,https://www.transfermarkt.com/carlos-baleba/profil/spieler/973085,35.0,2024-12-16
329261,Botond Balogh,https://www.transfermarkt.com/botond-balogh/profil/spieler/543727,2.5,2024-12-18
437136,Valentín Barco,https://www.transfermarkt.com/valentin-barco/profil/spieler/849410,8.0,2025-03-24
396058,Bradley Barcola,https://www.transfermarkt.com/bradley-barcola/profil/spieler/708265,70.0,2025-03-24
381701,Pablo Barrios,https://www.transfermarkt.com/pablo-barrios/profil/spieler/775605,50.0,2024-12-27
459368,Thierno Barry,https://www.transfermarkt.com/thierno-barry/profil/spieler/937941,14.0,2024-12-27
382014,Maximilian Beier,,0.0,
454466,Reda Belahyane,,0.0,
266747,Jude Bellingham,,0.0,
393932,Eliesse Ben Seghir,,0.0,
412928,Lucas Beraldo,,0.0,
455793,Lucas Bergvall,,0.0,
372881,Victor Bernth Kristiansen,,0.0,
387826,Alessandro Bianco,,0.0,
361885,Mika Biereth,,0.0,
367327,Tom Bischof,,0.0,
23575,Emmanuel Biumla,,0.0,
468394,Adama Boiro,,0.0,
437235,Warren Bondo,,0.0,
405123,Ange-Yoan Bonny,,0.0,
459421,Ayyoub Bouaddi,,0.0,
351198,Jarrad Branthwaite,,0.0,
448740,Nathaniel Brown,,0.0,
383649,Facundo Buonanotte,,0.0,
224195,Gianluca Busio,,0.0,
303014,Riccardo Calafiori,,0.0,
